"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"VR.Checkbox:Automatically add traffic lights if applicable","Wo möglich, Ampeln automatisch hinzufügen","Automatically add traffic lights if applicable","Añadir automáticamente semáforos si es aplicable","Ajouter automatiquement les feux de signalisation si possible","Automatikusan adjon hozzá jelzőlámpákat, ha lehetséges","Aggiungi i semafori automaticamente se possibile","該当する場合、信号を自動的に追加する","해당되는 경우 자동으로 신호등 추가","Voeg automatisch verkeerslicht toe indien van toepassing","Automatycznie dodaj sygnalizację świetlną dla nowych skrzyżowań","Automaticamente adicionar semáforos se possível","Добавлять светофоры автоматически, где это применимо","預設在中、大型道路的路口自動設置號誌燈","在合适的情况下自动增加红绿灯","Automatically add traffic lights if applicable","Eğer uygunsa trafik ışıklarını kendiliğinden ekle","Автоматично додавати світлофор, якщо це має сенс","Automaticky zapni semafory pokud je to možno","Automaticky pridať semafor ak to je možné","เพิ่มสัญญาณไฟจราจรโดยอัตโนมัติ ถ้ามี","Adaugă automat semafoare dacă este posibil","","ﻦﻜﻣﺃ ﻥﺇ ﺎﻴﺋﺎﻘﻠﺗ ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ ﻒﺿﺃ","Tambahkan lalu lintas secara otomatis jika bisa","Tự động thêm đèn giao thông nếu có thể",""
"MassEdit.Group:Roundabouts","Kreisverkehr","Roundabouts","Rotonda","Ronds-points","Körforgalmak","Rotatorie","ラウンドアバウト","회전교차로 정책 설정","MassEdit.Group:Rotondes","Ronda","Rotatórias","Движение по кругу","圓環","环岛","Roundabouts","Dönel kavşaklar","Круговий рух","Kruhový objezd","Kruhový objazd","วงเวียน","Ronduri","","ﺕﺍﺭﺍﻭﺩ","Bundaran","Vòng xuyến",""
"MassEdit.Group.Priority roads","Vorfahrtsstraßen","High priority roads","Calles prioritarias","Priorité des routes","Főútvonalak","Strade prioritarie","優先道路","우선 주행 도로","Prioritaire wegen","Drogi priorytetowe","Ruas de prioridade","Главная дорога","優先道路","优先道路","Priority roads","Öncelikli yollar","Головна дорога","Hlavní silnice","Hlavné cesty","ถนนที่มีความสําคัญ","Drumuri cu prioritate","","ﺔﻴﻟﺎﻌﻟﺍ ﺔﻳﻮﻟﻭﻷﺍ ﺕﺍﺫ ﻕﺮﻄﻟﺍ","Jalan prioritas","Đường ưu tiên",""
"Roundabout.Option:Allocate dedicated exit lanes","Dedizierte Ausfahrspuren zuweisen","Allocate dedicated exit lanes","Asignar carriles de salida dedicados","Attribuer des voies de sortie dédiées","Dedikált kihajtósávok kiosztása","Alloca le corsie di uscita dedicate","専用の出口レーンを割り当てる","출구 전용 차선 할당","Wijs speciale uitrijstroken toe","Przydziel dedykowane pasy zjazdu z ronda","Reservar faixas de saída dedicadas","Выделенные полосы для покидания круга","設置出口專用車道","自动分配专用出口车道","One dedicated lane for each exit; remaining lanes go straight","Belirlenmiş çıkış şeritleri ayır","Окремі смуги для виїзду з кругового перехрестя","Vyhrazení pruhu pro opuštění kruhového objezdu","Vyhradenie pruhu pre opustenie cesty","จัดสรรช่องทางออกโดยเฉพาะ","Alocă benzi dedicate de ieșire","","ﺔﺼﺼﺨﻣ ﺝﻭﺮﺧ ﺕﺍﺮﻤﻣ ﺺﻴﺼﺨﺗ","Alokasikan lajur keluar khusus","Có một làn dành riêng cho lối đi ra",""
"Roundabout.Tooltip:Allocate dedicated exit lanes","Dedizierte Ausfahrspuren zuweisen","One dedicated lane for each exit, the rest of lanes go straight","Asignar carriles de salida dedicados","Attribuer des voies de sortie dédiées","Dedikált kihajtósávok kiosztása","Alloca le corsie di uscita dedicate","各出口に1つの専用レーン、残りのレーンは直進","각 출구에 대해 전용 차선 1개, 나머지 차선은 직진","Wijs speciale uitrijstroken toe","Dedykowany pas do zjazdu, pozostałe do jazdy na wprost","Apenas uma das faixas será dedicada para cada saída, o resto seguirá em frente","Крайние полосы будут назначены исключительно для съезда с круга","設置出口專用車道","每个出口将会分配一条专用的出口车道, 而其余的车道则会直行","One dedicated lane for each exit, the rest of lanes go straight","Çıkışlar için ayrı şeritler kullanınız","Призначити крайні смуги руху виключно для виїзду з кругового перехрестя","Vyhrazený pruh pro každý výjezd z kruhového objezdu,ostatní budou pokračovat rovně","Vyhradený pruh pre každý výjazd z kruhového objazdu, ostatné budú pokračovať rovno","จัดสรรช่องทางออกโดยเฉพาะ","Alocă benzi speciale de ieșire","","ﻢﻴﻘﺘﺴﻣ ﻩﺎﺠﺗﺍ ﻲﻓ ﺕﺍﺭﺎﺤﻟﺍ ﺔﻴﻘﺑ ﺮﻴﺴﺗ ، ﺝﺮﺨﻣ ﻞﻜﻟ ﺔﺼﺼﺨﻣ ﺓﺭﺎﺣ","Satu lajur keluar khusus untuk setiap tempat keluar, lajur sisanya tetap lurus","Có một làn dành riêng cho lối đi ra",""
"Roundabout.Option:Stay in lane inside roundabout","Keine Spurwechsel im Kreisverkehr","Stay in lane inside the roundabout","Mantenerse en el carril dentro de la rotonda","Rester sur sa voie dans le rond-point","Maradjon a sávjában a körforgalomban","Rimane nella corsia all'interno della rotonda","ラウンドアバウト交差点内では車線にとどまる","회전교차로 내 차선 유지","Blijf op de binnenste rijstrook van de rotonde","'Pozostań na pasie' na drogach wewnątrz ronda","Permanecer na faixa dentro da rotatória","Оставаться в полосе внутри круга","在圓環內禁止變換車道","在环岛内道路辅助连接禁止变更车道","Stay in lane inside the roundabout","Dönel kavşak içinde şerit değiştirilmesin","Тримати смугу всередині кругового перехрестя","Zůstat v pruhu během jízdy v kruhovém objezdu","Zostať v pruhu počas jazdy na kruhovom objazde","อยู่ในเลนภายในวงเวียน","Rămâi în banda în interirorul rondului","","ﺭﺍﻭﺪﻟﺍ ﻞﺧﺍﺩ ﺓﺭﺎﺤﻟﺍ ﻲﻓ ﻖﺑﺍ","Tetap berada di dalam lajur pada bundaran","Cấm đổi làn bên trong vòng xuyến",""
"Roundabout.Option:Stay in lane outside roundabout","Keine Spurwechsel außerhalb eines Kreisverkers","Stay in lane on the roads approaching the roundabout","Mantenerse en el carril fuera de la rotonda","Restez dans la voie extérieure du rond-point","Maradjanak a sávban a körforgalomba vezető utakon","Rimane nella corsia all'esterno della rotonda","ラウンドアバウト交差点に近づく道路で車線に留まる","회전교차로로 접근하는 도로에서 차선 유지","Blijf op de buitenste rijstrook van de rotonde","'Pozostań na pasie' na drogach dojazdowych do ronda","Permanecer na faixa nas ruas de acesso à rotatória","Оставаться в полосе на подъезде к кругу","圓環旁禁止變換車道","在靠近环岛的道路辅助连接禁止变更车道","Stay in lane on the roads approaching the roundabout","Dönel kavşak dışında şerit değiştirilmesin","Тримати смугу на під'їзді до кругового перехрестя","Zůstat v pruhu při dosažení kruhovém objezdu","Zostať v pruhu po prechode cez kruhový objazd","อยู่ในเลนนอกวงเวียน","Rămâi în banda în afara rondului","","ﺭﺍﻭﺪﻟﺍ ﻦﻣ ﺏﺮﺘﻘﺗ ﻲﺘﻟﺍ ﻕﺮﻄﻟﺍ ﻰﻠﻋ ﺔﻳﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺤﻟﺍ ﻲﻓ ﻖﺑﺍ","Tetap berada di dalam lajur di luar bundaran","Cấm đổi làn bên ngoài vòng xuyến",""
"Roundabout.Tooltip:Stay in lane outside roundabout","Fahrzeuge vor einem Kreisverkehr wechseln nicht die Spur","Vehicles shall not switch lanes too close to the roundabout","Manténerse en el carril fuera de la rotonda","Les véhicules ne doivent pas changer de voie trop près du rond-point","Maradjanak a sávban a körforgalomba vezető utakon","Rimane nella corsia esterna della rotonda","車両は、ラウンドアバウト交差点に接近して車線を変更してはならない","회전교차로 근방에서 차선 유지","Blijf op de buitenste rijstrook van de rotonde","Pojazdy nie powinny zmieniać pasa zbyt blisko ronda","Proibir a mudança de faixas de veículos muito próximos a rotatória","Оставаться в полосе на подъезде к кругу","圓環旁禁止變換車道","车辆不能在离环岛处过近的地方更换车道","Vehicles shall not switch lanes too close to the roundabout","Dönel kavşak dışında şeritte kalınsın","Тримати смугу на під'їзді до кругового перехрестя","Vozidla nesmí měnit jízdní pruhy příliš blízko kruhovému objezdu","Vozidlá nemôžu zmeniť pruh v blízkosti kruhového objazdu","อยู่ในเลนนอกวงเวียน","Rămâi în banda în afara rondului","","ﺭﺍﻭﺪﻟﺍ ﻦﻣ ﺍﺪﺟ ﺔﺒﻳﺮﻘﻟﺍ ﺕﺍﺭﺎﺤﻟﺍ ﻞﻳﺪﺒﺗ ﺕﺎﺒﻛﺮﻤﻠﻟ ﺯﻮﺠﻳ ﻻ","Tetap berada di dalam lajur di luar bundaran","Cấm đổi làn bên ngoài vòng xuyến",""
"Roundabout.Option:No crossing inside","Fußgänger betreten nicht die Mitte eines Kreisverkehrs","Pedestrians shall not cross to the center of roundabout","Prohibir a los peatones cruzar al centro de la rotonda","Les piétons ne doivent pas traverser vers le milieu du rond-point","Ne legyen gyalogátkelő a körforgalomban","Nessun attraversamento all'interno","歩行者は、ラウンドアバウト交差点の中心部に進入してはならない。","회전교차로 중심으로 보행자가 건너지 않음","Voetgangers mogen de weg niet oversteken naar het midden van de rotonde","Pieszy nie powinni przechodzić przez drogę do środka ronda","Proibir a travessia de pedestres para o centro da rotatória","Запретить пешеходные переходы внутри круга","預設沒有斑馬線連到圓環中","行人不能横穿环岛道路","Pedestrians shall not cross to the centre of the roundabout","Kavşak içinde yaya geçişi olmasın","Заборонити пішохідні переходи всередині","Chodci nesmí přecházet silnici uvnitř kruhového objezdu","Chodci nemôžu prekračovať cestu vo vnútri kruhového objazdu","ไม่มีการข้ามด้านใน","Nicio traversare în interior","","ﺭﺍﻭﺪﻟﺍ ﻞﺧﺍﺩ ﻰﻟﺇ ﺓﺎﺸﻤﻟﺍ ﺭﻮﺒﻋ ﺯﻮﺠﻳ ﻻ","Tiadakan penyeberangan di dalam","Người đi bộ không được sang đường giữa vòng xuyến",""
"Roundabout.Option:No crossing on incoming roads","Keine Überquerung über ankommende Straßen","Pedestrians shall not cross the roads approaching the roundabout","Prohibir a los peatones cruzar las calles de acceso a la rotonda","Pas de croisement sur les routes entrantes","Ne legyen gyalogátkelő a körforgalomba vezető utakon","Nessun attraversamento sulle strade in avvicinamento","歩行者は、ラウンドアバウト交差点に進入する道路を横断してはならない","회전교차로로 접근하는 도로에서 보행자가 건너지 않음","Voetgangers mogen de wegen die de rotonde naderen niet oversteken","Pieszy nie powinni przechodzić przez drogę tuż przed rondem","Proibir a travessia de pedestres nas ruas de acesso a rotatória","Запретить пешеходные переходы на подъездных дорогах к кругу","預設沒有斑馬線在緊接圓環的路上","行人不能横穿环岛各出入口道路","Pedestrians shall not cross the roads approaching the roundabout","Gelen şeritlerde kesişim olmaz","Заборонити пішохідні переходи на під'їздних дорогах","Chodci nesmí přecházet silnici blízko kruhovému objezdu","Chodci nemôžu prekračovať cestu v blízkosti kruhového objazdu","ห้ามข้ามถนนขาเข้า","Nicio traversare pe drumurile de primire","","ﺭﺍﻭﺪﻟﺍ ﻰﻟﺇ ﺔﻳﺩﺆﻤﻟﺍ ﻕﺮﻄﻟﺍ ﺭﻮﺒﻋ ﺓﺎﺸﻤﻠﻟ ﺯﻮﺠﻳ ﻻ","Tiadakan penyeberangan pada jalan yang masuk","Người đi bộ không được băng qua con đường nối đến vòng xuyến",""
"Roundabout.Option:Set priority signs","Vorfahrtsschilder setzen","Add priority signs on the roundabout junction","Añade señales de prioridad en los cruces de la rotonda","Définir des panneaux de priorité","Elsőbbségadás tábla hozzáadása","Imposta i segnali di precedenza","ラウンドアバウト交差点に優先標識を追加する","회전교차로로 진입하는 교차로에 우선주행 표지판 추가","Voeg voorrangsborden toe op de rotonde","Dodaj znaki pierwszeństwa przejazdu na rondzie","Adicionar placas de prioridade na junção da rotatória","Установить знаки приоритета","設定道路優先權標誌","在环岛各路口添加<路口优先通行权>","Add priority signs on the roundabout junction","Öncelik işaretlerini ayarla","Встановити знаки пріоритету на круговому перехресті","Přidat přednost na kruhovém objezdu","Pridať prednosť na kruhovom objazde","กำหนดเครื่องหมายลำดับความสำคัญ","Pune semne de prioritate","","ﺭﺍﻭﺪﻟﺍ ﻊﻃﺎﻘﺗ ﺪﻨﻋ ﺔﻳﻮﻟﻭﻷﺍ ﺕﺍﺭﺎﺷﺇ ﻒﺿﺃ","Setelkan rambu-rambu prioritas","Thêm biển báo ưu tiên tại điểm giao vòng xuyến",""
"Priority roads.Option:Allow far turns","Erlaube Fahrzeugen, von einer Straße über eine Spur abzubiegen/auf die Hauptstraße zu fahren (nicht empfohlen)","Allow cars to take far turn from/into main road (not recommended)","Permitir a los carros hacer giros lejanos desde y hacia la calle principal (no recomendado)","Option : Autoriser les virages lointains/éloignés","Távoli kanyarodás engedélyezése (nem ajánlott)","Permette alle auto di svoltare lontano da/verso la strada principale (non raccomandato)","自動車の優先道路からの分流/合流を許可します（非推奨）","차량 중앙차선으로 회전 허용 (권장하지 않음)","Sta auto's toe ver af te slaan van / naar hoofdweg (niet aanbevolen)","Zezwól na wykonanie skrętu z przecięciem przeciwległej jezdni","Permitir que carros escolham uma curva mais distante de/para a rua principal (não recomendado)","Позволить повороты через встречную полосу","允許車輛在幹道路口上左轉（方向以靠右行駛的地圖為準。不建議使用此）","允许车辆驶入/驶出时横穿主干道 (不推荐)","Allow cars to take far turn from/into main road (not recommended)","Geniş dönüşlere izin ver","Дозволити поворот через смугу зустрічного руху","Povolit vzdálené otáčení vozidel z/na hlavní silnici (nedoporučujeme)","Povoliť vzdialené otáčanie vozidel z/na hlavnú cestu (neodporúčame)","อนุญาตให้เลี้ยวได้ไกล","Permite întoarcerile strânse","","(ﻪﺑ ﻰﺻﻮﻣ ﺮﻴﻏ) ﻲﺴﻴﺋﺮﻟﺍ ﻖﻳﺮﻄﻟﺍ ﻰﻟﺇﻭ ﻦﻣ ﺍﺪﻴﻌﺑ ﻑﺎﻄﻌﻧﻻﺎﺑ ﺕﺍﺭﺎﻴﺴﻠﻟ ﺡﺎﻤﺴﻟﺍ","Izinkan mobil untuk membelok jauh dari/ke jalan utama (tidak direkomendasikan)","Cho phép xe hơi rẽ từ/vào đường chính (không khuyến khích)",""
"Priority roads.Tooltip:Allow far turns","Wenn aktiviert, werden die Fahrspurpfeile nicht geändert und Autos können den Mittelpunkt der Kreuzung überqueren (gilt nicht, wenn sich die Allee teilt)","If enabled, lane arrows are untouched and cars can cross road median (does not apply when splitting avenue).","Si está habilitado, flechas en los carriles no serán modificadas y los carros pueden cruzar la acera del medio de la calle (no aplica con avenidas divididas)","Info-bulle : Autoriser les virages lointains/éloignés","Ha engedélyezve van, a sáv nyilai nem változnak, és az autók átléphetik a kereszteződés középpontját (nem vonatkozik a sugárút felosztására).","Se abilitato, le frecce di corsia non verranno modificate e le auto possono attraversare il punto medio dell'incrocio (non si applica quando il viale si divide)","有効にすると、車線の矢印はそのままになり、車は道路の中央分離帯を横切ることができます（道を分割する場合は適用されません）。","활성화되면, 차선을 무시하고 차량이 도로 중앙으로 진입이 가능해집니다. (분할된 에비뉴 도로 미적용됨)","Indien ingeschakeld, blijven rijstrookpijlen onaangeroerd en kunnen auto's de mediaan van de weg oversteken (niet van toepassing bij het splitsen van de rijbaan).","Jeśli aktywne, strzałki pasów pozostają nietknięte a pojazdy mogą przecinać przeciwległą jezdnię","Caso ativado, as setas de faixa não serão modificadas e os carros poderão cruzar a mediana da rua (não se aplica ao dividir avenida).","Повороты через встречную полосу без разделителя полос","如果啟用此選項，車道箭頭將不改變，且車輛可逕行穿越道路中央（不適用含有分隔島的道路）","如果启用, 设置主干道时不更改车道行车导向箭头, 并且车辆可以正常横穿主干道 (不应用于有隔离带道路)","If enabled, lane arrows are untouched and cars can cross road median (does not apply when splitting avenue).","Geniş dönüşlere izin ver","Дозволити повороти через зустрічний рух, якщо немає розділювача смуг","Pokud je zapnuto, jízdní pruhy nejsou dotčeny a automobily mohou pokračovat","Ak je zapnuté, jazdné pruhy niesu dotykané a automobily môžu pokračovať","อนุญาตให้เลี้ยวได้ไกล","Permite întoarcerile strânse","",".(ﻖﻳﺮﻄﻟﺍ ﻢﻴﺴﻘﺗ ﺪﻨﻋ ﻖﺒﻄﻨﻳ ﻻ) ﻖﻳﺮﻄﻟﺍ ﻂﺳﻮﺘﻣ ﺭﻮﺒﻋ ﺕﺍﺭﺎﻴﺴﻠﻟ ﻦﻜﻤﻳﻭ ﺓﺭﺎﺤﻟﺍ ﻢﻬﺳﺄﺑ ﺱﺎﺴﻤﻟﺍ ﻢﺘﻳ ﻻ ﻦﻴﻜﻤﺘﻟﺍ ﺔﻟﺎﺣ ﻲﻓ","Jika diaktifkan, panah jalur tidak disentuh dan kendaraan dapat menyebrang median jalan (tidak diterapkan jika memisahkan jalan)","Nếu bật, mũi tên chỉ làn đường không bị ảnh hưởng và xe hơi có thể băng qua dải phân cách (không áp dụng với việc chia đại lộ)",""
"Priority roads.Option:Enter blocked yield road","Erlaube Fahrzeugen auf der Nebenstraße die Einfahrt in eine blockierte Hauptstraße","Allow cars on yield road to enter blocked main road","Permitir a los carros en calles prioritarias entrar en calles principales","Option : Entrer sur la route même bloquée","Elsőbbségadás kötelező táblánál az autók behajthatnak a telített főútvonalra","Consente alle auto su strade con obbligo di dare la precedenza di entrare su strade principali bloccate","高速道路上の車を通行止めの優先道路に進入させる","양보 표지판 도로에서 주행 중인 차량 꼬리물기 허용","Sta auto's toe om de geblokkeerde hoofdweg op te rijden vanuit de wegen die de hoofdweg voorrang moeten geven","Zezwól na wjazd z podporządkowanej na zablokowaną drogę z pierwszeństwem","Permitir que carros em espera entrem na rua principal bloqueada","Разрешить въезд на главную дорогу, занятую другими авто","允許支道車輛進入阻塞的幹道","允许驶入主干道的车辆可以驶入堵塞的路口排队","Allow cars on yield road to enter blocked main road","Kapanmış yola gir","Дозволити в'їзд на головну дорогу якщо місце зайнято іншими авто","Vozidla mohou na značce ""dej přednost"" vjet do zaplněné křižovatky","Vozidlá môžu vôjsť na značke ""daj prednosť v jazde"" do zaplnenej križovatky","เข้าสู่ถนน yield ที่ถูกบล็อก","Intra pe drumurile blocate fără prioritate","","ﺩﻭﺪﺴﻤﻟﺍ ﻲﺴﻴﺋﺮﻟﺍ ﻖﻳﺮﻄﻟﺍ ﻰﻟﺇ ﻝﻮﺧﺪﻠﻟ ﺔﻌﺿﺎﺨﻟﺍ ﻖﻳﺮﻄﻟﺍ ﻰﻠﻋ ﺕﺍﺭﺎﻴﺴﻠﻟ ﺡﺎﻤﺴﻟﺍ","Izinkan kendaraan yang berada di jalan dengan rambu berikan jalan untuk memasuki jalan utama yang penuh","Cho phép xe ở đường nhường đi vào đường chính bị chặn",""
"Priority roads.Option:Stop signs on entry","Stoppschilder für Einfahrten auf Hauptstraßen verwenden","Use stop signs when entering main road","Señales de Stop al entrar","Option : Panneau Stop à l'entrée de route","Stop táblák használata a főútvonalhoz csatlakozáskor","Utilizza i segnali di stop quando si entra nella strada principale","幹線道路に入るときは一時停止標識を使用する","우선주행 도로에 진입하는 도로 표지판을 정지 표지판으로 대체","Gebruik stopborden bij het betreden van de hoofdweg","Używaj znaku stop na wjazdach drogi z pierwszeństwem","Utilizar placas de ""Pare"" nas entradas a ruas principais","Установить знаки Стоп на въезде","當匯入幹道時，使用「停」標誌","驶入主干道的标志使用<停车让行>","Use stop signs when entering main road","Yol girişinde Dur işareti","Встановити знаки Стоп на в'їзді до головної дороги","Použít STOP značku při vjezdu na hlavní silnici","Použiť značku ""STOP"" pri vchádzaní na hlavnú cestu","ป้ายห้ามเข้า","Semne de stop la intrare","","ﻲﺴﻴﺋﺮﻟﺍ ﻖﻳﺮﻄﻟﺍ ﻝﻮﺧﺩ ﺪﻨﻋ ﻒﻗﻮﺘﻟﺍ ﺕﺎﻣﻼﻋ ﻡﺪﺨﺘﺳﺍ","Gunakan rambu berhenti saat memasuki jalan utama","Dùng biển báo dừng khi đi vào đường chính",""
"Priority roads.Tooltip:Stop signs on entry","Wenn aktiviert, werden Stoppschilder an Straßen angebracht, die in die Hauptstraße münden. Wenn deaktiviert, werden stattdessen Vorfahrtsschilder angebracht","If enabled, puts stop signs on roads entering the main road. If disabled, puts yield signs instead","Agrega señales de stop en la entradas a la carretera prioritaria","Info-bulle : Panneau Stop/d'arrêt à l'entrée d'une route","Ha engedélyezve van, akkor Stop táblákat helyez a főútvonalba becsatlakozó utakra. Ha le van tiltva, akkor elsőbbségadás kötelező táblákat használ.","Se abilitato, mette segnali di stop sulle strade che entrano in quella principale. Se disabilitato, invece, mette segnali di dare la precedenza","有効にすると、優先道路に入る道路に一時停止の標識が表示されます。 無効にすると、代わりに非優先標識を表示","해당 정책 활성화시, 우선주행 도로로 진입하는 도로에 정지표지판을 배치합니다./n비활성화되면 양보 표지판을 배치합니다.","Indien ingeschakeld, plaatst stopborden. Indien uitgeschakeld, plaats voorrangsborden.","Jeśli aktywne, ustawia znaki stop na drogach dojazdowych do drogi z pierwszeństwem, jeśli nie, używa znaków pierwszeństwa przejazdu","Caso ativado, põe placas de ""Pare"" nas ruas de entrada a rua principal. Caso desativado, põe placas de prioridade","Если включено, устанавливает на въездах на главную дорогу знаки Стоп. Иначе будут установлены знаки Уступить Дорогу.","如果啟用此選項，將放置「停」標誌在匯入幹道的支道。如果停用，則立即放置「讓」標誌。","如果启用, 支路驶入主干道的标志使用<停车让行>. 如果禁用, 标志则使用<减速让行>","If enabled, puts stop signs on roads entering the main road. If disabled, puts yield signs instead","Yol girişinde Dur işareti","Встановлює знаки Стоп на в'їздах на головну дорогу, інакше встановлює знаки Дати Дорогу","Použít STOP při vjezdu na hlavní silnici. V opačném případě ""dej přednost""","Ak aktivované, položí značku stop na cesty vchadzajúce na hlavnú cestu, Ak nie položiť značku prednosť v jazde","ป้ายห้ามเข้า","Semne de stop la intrare","","ﻚﻟﺫ ﻦﻣ ًﻻﺪﺑ ﺪﺋﺎﻌﻟﺍ ﺕﺎﻣﻼﻋ ﻊﻀﻳ ﻪﻧﺈﻓ ، ﻪﻠﻴﻄﻌﺗ ﻢﺗ ﺍﺫﺇ .ﻲﺴﻴﺋﺮﻟﺍ ﻖﻳﺮﻄﻟﺍ ﻞﺧﺪﺗ ﻲﺘﻟﺍ ﻕﺮﻄﻟﺍ ﻰﻠﻋ ﻒﻗﻮﺗ ﺕﺍﺭﺎﺷﺇ ﻊﻀﻳ ، ﻦﻴﻜﻤﺘﻟﺍ ﺔﻟﺎﺣ ﻲﻓ","Jika aktif, rambu berhenti akan ditaruhkan pada jalanan yang memasuki jalan utama. Jika mati, rambu beri jalan ditaruhkan sebagai gantinya","Nếu bật, hãy đặt biển báo dừng tại những con đường đi vào đường chính. Nếu tắt, hãy đặt biển báo nhường đường",""
"Priority roads.Option:Allow pedestrian crossings on main road","Erlaube Fußgängerüberwege auf der Hauptstraße","Allow pedestrian crossings on main road","Permitir cruces de peatones en la calle principal","Autoriser les passages piétons sur les routes principales","Gyalogátkelőhelyek engedélyezése a főútvonalon","Abilita attraversamenti pedonali sulla strada principale","優先道路での横断歩道の許可","메인 도로에서 보행자 횡단 허용","Sta oversteekplaatsen toe op de hoofdweg","Zezwól na przejście dla pieszych na drodze głównej","Permitir cruzamento de pedestres em rua principal","Позволить пешеходные переходы на главной дороге","允許行人穿越主要幹道","允许主干道上存在人行横道","Allow pedestrian crossings on main road","Ana yolda yaya geçitlerine izin verin.","Дозволити пішохідні переходи на головній дорозі","Povolit chodcům přecházet silnici","Povoliť chodcom prechádzať cez hlavnú cestu","อนุญาตให้คนเดินเท้าข้ามถนนสายหลัก","Permite trecerile pietonale pe drumurile principale","","ﻲﺴﻴﺋﺮﻟﺍ ﻖﻳﺮﻄﻟﺍ ﻰﻠﻋ ﺓﺎﺸﻤﻟﺍ ﺭﻮﺒﻌﺑ ﺡﺎﻤﺴﻟﺍ","Bolehkan penyeberangan pada jalan utama","Cho phép người đi bộ băng qua đường chính",""
"General.Slider:GUI scale","Größe der Benutzeroberfläche","User interface scale","Tamaño de la interfaz de usuario","Taille de l'interface","Grafikus felhasználói felület mérete","scala GUI","GUIスケール","GUI 스케일","Gebruikersinterface schaal","Skala interfejsu użytkownika","Escala da interface de usuário","Масштаб пользовательского интерфейса","使用者介面大小","用户界面比例","User interface scale","Arayüz ölçeği","Масштаб графічного інтерфейсу користувача","Velikost uživatelského rozhraní","Veľkosť používateľského rozhrania","ขนาด User interface","Scala GUI","","ﻡﺪﺨﺘﺴﻤﻟﺍ ﺔﻬﺟﺍﻭ ﺱﺎﻴﻘﻣ","Skala UI","Phóng đại giao diện",""
"General.Tooltip.Format:GUI scale: {0}%","GUI-Skala: {0}%","Current GUI scale {0}%","Tamaño de la interfaz de usuario: {0}%","Info-bulle. Format : Échelle GUI : {0}%","Grafikus felhasználói felület {0}%","scala GUI: {0}%","現在のGUIスケール {0}%","현재 GUI 스케일 {0}%","Huidige GUI-schaal {0}%","Aktualna skala interfejsu {0}%","Escala da Interface {0}%","Текущий масштаб интерфейса {0}%","目前的使用者介面 {0}%","当前图形用户界面比例: {0}%","Current GUI scale {0}%","Arayüz ölçeği: {0}%","Зараз встановлено масштаб {0}%","Velikost rozhraní {0}%","Veľkosť používateľského rozhrania: {0}%","ขนาด GUI: {0}%","Scala GUI: {0}%","","% {0} ﻲﻟﺎﺤﻟﺍ ﻡﺪﺨﺘﺴﻤﻟﺍ ﺔﻬﺟﺍﻭ ﺱﺎﻴﻘﻣ","Skala UI saat ini: {0}%","Tỉ lệ giao diện hiện tại: {0}%",""
"General.Dropdown:Simulation accuracy","Genauigkeit der Simulation","Simulation accuracy","Precisión de la simulación","Précision de la simulation","Szimulációs pontosság","Precisione simulazione","シミュレーションの正確さ","시뮬레이션 정확도","Genauigkeit der Simulation","Dokładność symulacji","A precisão da simulação","Точность моделирования","模擬精準度","模拟真实度","Simulation accuracy","Simülasyon doğruluğu","Точність симуляції","Přesnost simulace","Prednosť simulácií","ความแม่นยําของการจําลอง","Precizia simulării","","ﺓﺎﻛﺎﺤﻤﻟﺍ ﺔﻗﺩ","Akurasi simulasi","Độ chính xác mô phỏng",""
"General.Dropdown.Option:Very low","Sehr niedrig","Very low","Muy bajo","Très basse","Nagyon alacsony","Molto basso","とても低い","매우 낮음","Zeer laag","Bardzo niska","Muito Baixa","Очень медленно","非常低","非常低","Very low","En düşük","Дуже низька","Velmi nízká","Veľmi malá","ต่ำมาก","Foarte Scăzut","","ﺍﺪﺟ ﺾﻔﺨﻨﻣ","Sangat rendah","Rất thấp",""
"General.Dropdown.Option:Low","Niedrig","Low","Bajo","Basse","Alacsony","Basso","低い","낮음","Laag","Niska","Baixa","Замедленное","低","低","Low","Düşük","Низька","Nízká","Malá","ต่ำ","Scăzut","","ﺾﻔﺨﻨﻣ","Rendah","Khá thấp",""
"General.Dropdown.Option:Medium","Mittel","Medium","Medio","Moyenne","Közepes","Medio","中くらい","중간","Middelhoog","Średnia","Média","Среднее","中","中","Medium","Orta","Середня","Střední","Stredná","ปานกลาง","Mediu","","ﻂﺳﻮﺘﻣ","Sedang","Trung bình",""
"General.Dropdown.Option:High","Hoch","High","Alto","Haute","Magas","Alto","高い","높음","Hoog","Wysoka","Alta","Высокое","高","高","High","Yüksek","Висока","Vysoká","Vysoká","สูง","Mare","","ﻲﻟﺎﻋ","Tinggi","Khá cao",""
