English,"Chinese Simplified","Chinese Traditional",Dutch,English,"English, United Kingdom",French,German,Hungarian,Italian,Japanese,Korean,Polish,Portuguese,Russian,Spanish,File
TMPE_TUTORIAL_HEAD_LaneArrowTool,变更车道方向,"Lane arrows","Lane arrows","Lane arrows","Lane arrows","Flèches directionnelles",Richtungspfeile,"Lane nyilak","Lane arrows",車線の矢印,"도로 화살표 변경 도움말","Narzędzie zmiany kierunków pasów ruchu","Lane arrows","Стрелки дорожной разметки","Lane arrows",Strings.csv
TMPE_TUTORIAL_BODY_LaneArrowTool,"限制车辆的可选方向。\n\n1. 单击路口前的路段\n2. 选择允许的方向","Restrict the set of directions that vehicles are allowed to take.\n\n1. Click on a road segment next to a junction\n2. Select the allowed directions.","Restrict the set of directions that vehicles are allowed to take.\n\n1. Click on a road segment next to a junction\n2. Select the allowed directions.","Restrict the set of directions that vehicles are allowed to take.\n\n1. Click on a road segment next to a junction\n2. Select the allowed directions.","Restrict the set of directions that vehicles are allowed to take.\n\n1. Click on a road segment next to a junction\n2. Select the allowed directions.","Restreindre l'ensemble des directions que les véhicules sont autorisés à prendre.\n\n1. Cliquez sur un segment de route à côté d'une intersection\n2. Sélectionnez les directions autorisées.","Limitiere die Richtungen, in die Fahrzeuge fahren dürfen.\n\n1. Klicke auf ein Straßensegment nahe einer Kreuzung.\n2. Wähle die erlaubten Richtungen aus.","Korlátozza a járművek által megtett útmutatásokat. \n\n1. Kattintson egy csomópont melletti útszakaszra \n2. Válassza ki az engedélyezett irányokat.","Restrict the set of directions that vehicles are allowed to take.\n\n1. Click on a road segment next to a junction\n2. Select the allowed directions.","車両が進行する方向を制限します。\n\n1. 交差点の横にある道路区間をクリックします\n2. 許可する方向を選択してください。","차량이 회전할 수 있는 방향을 통제할 수 있습니다.\n\n1. 변경하고 싶은 교차로 도로구간을 클릭합니다\n2. 화살표를 클릭하여 방향을 지정합니다.","Ustaw możliwe kierunki w którym pojazd może się poruszać z danego pasa ruchu.\n\n1. Wybierz segment drogi tuż przy skrzyżowaniu\n2. Ustaw dozwolone kierunki ruchu.","Restrict the set of directions that vehicles are allowed to take.\n\n1. Click on a road segment next to a junction\n2. Select the allowed directions.","Ограничение направлений транспортных средств.\n\n1. Нажмите на сегмент дороги рядом с перекрестком.\n2. Выберите разрешённые маршруты.","Restrict the set of directions that vehicles are allowed to take.\n\n1. Click on a road segment next to a junction\n2. Select the allowed directions.",Strings.csv
TMPE_TUTORIAL_HEAD_LaneConnectorTool,车道连接工具,"Lane connector","Lane connector","Lane connector","Lane connector","Connecteur des voies de circulation",Fahrspurverbinder,Sávcsatlakozó,"Lane connector",車線の接続,"차선 연결 도움말","Połącz pasy ruchu","Lane connector","Линии движения","Lane connector",Strings.csv
TMPE_TUTORIAL_BODY_LaneConnectorTool,"连接2+条车道来告知车辆可用的车道。\n\n1. 单击一个车道变更点(灰色圆圈)\n2. 单击一个来源车道\n3. 单击目标车道来建立连接\n4. 任意位置单击右键返回来源车道选择\n\n可用热键：\n\n- Delete 或 Backspace：移除所有车道连接\n- Shift + S：(循环)查看所有""stay on lane""模式","Connect two or more lanes with each other in order to tell which lanes vehicles may use.\n\n1. Click on a lane changing point (grey circles).\n2. Click on a source marker.\n3. Click on a target marker to connect it with the source marker.\n4. Click anywhere with your secondary mouse button to return back to source marker selection.\n\nAvailable hotkeys:\n\n- Delete or Backspace: Remove all lane connections\n- Shift + S: Cycle through all available ""stay on lane"" patterns","Connect two or more lanes with each other in order to tell which lanes vehicles may use.\n\n1. Click on a lane changing point (grey circles).\n2. Click on a source marker.\n3. Click on a target marker to connect it with the source marker.\n4. Click anywhere with your secondary mouse button to return back to source marker selection.\n\nAvailable hotkeys:\n\n- Delete or Backspace: Remove all lane connections\n- Shift + S: Cycle through all available ""stay on lane"" patterns","Connect two or more lanes with each other in order to tell which lanes vehicles may use.\n\n1. Click on a lane changing point (grey circles).\n2. Click on a source marker.\n3. Click on a target marker to connect it with the source marker.\n4. Click anywhere with your secondary mouse button to return back to source marker selection.\n\nAvailable hotkeys:\n\n- Delete or Backspace: Remove all lane connections\n- Shift + S: Cycle through all available ""stay on lane"" patterns","Connect two or more lanes with each other in order to tell which lanes vehicles may use.\n\n1. Click on a lane changing point (grey circles).\n2. Click on a source marker.\n3. Click on a target marker to connect it with the source marker.\n4. Click anywhere with your secondary mouse button to return back to source marker selection.\n\nAvailable hotkeys:\n\n- Delete or Backspace: Remove all lane connections\n- Shift + S: Cycle through all available ""stay on lane"" patterns","Reliez deux ou plusieurs voies entre elles afin de déterminer les voies que les véhicules peuvent utiliser.\n\n1. Cliquez sur une intersection (cercles gris).\n2. Cliquez sur un marqueur de source.\n3. Cliquez sur un marqueur cible pour le relier au marqueur source.\n4. Cliquez n'importe où avec le bouton secondaire de la souris pour revenir à la sélection du marqueur source.\n\nTouches de raccourci disponibles :\n\n- Supprimer ou Retour arrière : Supprimer toutes les connexions de voie\n- Shift + S : Parcourir tous les modèles ""rester sur la voie"" disponibles","Verbinde zwei oder mehr Fahrspuren miteinander, um Fahrzeugen nur bestimmte Fahrspurwechsel zu erlauben.\n\n1. Klicke auf einen Spurwechselpunkt (grauer Kreis).\n2. Klicke auf eine Quellspurmarkierung.\n3. Klicke auf eine Zielspurmarkierung, um die Zielspur mit der Quellspur zu verbinden.\n4. Klicke irgendwo mit der sekundären Maustaste, um zur Qullspurselektion zurückzukehren.\n\nVerfügbare Tastenkombinationen:\n\n-Entf. oder Rücktaste: Lösche alle Fahrspurverbindungen\n- Umschalt + S: Wechsle durch alle verfügbaren ""Bleib auf der Spur""-Vorlagen.","Csatlakoztasson két vagy több sávot egymással, hogy megmondja, mely sávokat használhatják a járművek. \n\n1. Kattintson a sávváltási pontra (szürke körök). \n2. Kattintson a forrásjelölőre. \n3. Kattintson egy céljelölőre, hogy összekapcsolja a forrásjelölővel. \n4. Kattintson bárhová a másodlagos egérgombbal, hogy visszatérjen a forrásjelölő kiválasztásához. \n\nHatékony gyorsbillentyűk: \n\n- Törlés vagy Backspace: Az összes sávcsatlakozás eltávolítása \n- Shift + S: Áttekintés az összes rendelkezésre álló „sávon maradásról”. minták","Connect two or more lanes with each other in order to tell which lanes vehicles may use.\n\n1. Click on a lane changing point (grey circles).\n2. Click on a source marker.\n3. Click on a target marker to connect it with the source marker.\n4. Click anywhere with your secondary mouse button to return back to source marker selection.\n\nAvailable hotkeys:\n\n- Delete or Backspace: Remove all lane connections\n- Shift + S: Cycle through all available ""stay on lane"" patterns","車両がどの車線を使用できるかを知るために、2つ以上の車線を互いに接続します。\n\n1. 車線変更点（灰色の丸）をクリックします。\n2. ソースマーカーをクリックします。\n3. ターゲットマーカーをクリックしてソースマーカーと接続します。\n4. 任意の場所で右クリックすると、ソースマーカーの選択に戻ります。\n\n利用可能なホットキー:\n\n- Delete または Backspace: すべての車線接続を削除\n- Shift + S: 利用可能なすべての「車線を維持する」パターンを順番に切り替えます","두개 이상의 차선을 연결하여 차량이 해당 차선으로 이동하도록 명령할 수 있습니다.\n\n1. 차선을 변경할 포인트를 클릭합니다(회색 원)\n2. 시작할 차선을 클릭합니다\n3. 연결하고 싶은 차선 원을 클릭하여 연결합니다\n4. 빈공간을 우클릭하면 다시 전 단계로 돌아갈 수 있습니다\n\n사용할 수 있는 단축키 :\n\n- Delete , Backspace : 모든 연결된 차선들을 삭제합니다\n- Shift + S : 직진차선 교차점에서 원을 돌며 패턴을 적용 할 수 있습니다","Połącz dwa lub więcej pasów ruchu ze sobą, aby wyznaczyć możliwe ścieżki poruszającym sie nimi pojazdom.\n\n1. Kliknij na wybranym punkcie (szare okręgi).\n2. Wybierz jeden z kolorowych okręgów symbolizujących koniec pasa.\n3. Następnie kliknij na inny, aby je ze sobą połączyć. \n4. Kliknij gdziekolwiek prawym klawiszem myszy, aby powtórzyć wybór końcowego znacznika.\n\nSkróty klawiszowe:\n\n- Delete lub Backspace: Usuń wszystkie połącznia\n- Shift + S: Przełączaj między dostępnymi schematami ""pozostań na pasie""","Connect two or more lanes with each other in order to tell which lanes vehicles may use.\n\n1. Click on a lane changing point (grey circles).\n2. Click on a source marker.\n3. Click on a target marker to connect it with the source marker.\n4. Click anywhere with your secondary mouse button to return back to source marker selection.\n\nAvailable hotkeys:\n\n- Delete or Backspace: Remove all lane connections\n- Shift + S: Cycle through all available ""stay on lane"" patterns","Соедините две или более линии вместе, чтобы транспортные средства могли использовать разные полосы.\n\n1. Нажмите на точку смены полосы (серый круг).\n2. Нажмите на маркер исходной линии.\n3. Нажмите маркер цели, чтобы связать его с маркером источника.\n4. Щёлкните в любом месте с помощью дополнительной кнопки мыши, чтобы вернуться к выбору маркера источника.\n\nДоступные горячие клавиши:\n\n- Delete or Backspace: Удалить все Линии движения\n- Shift + S: Пролистайте все доступные шаблоны ""Остаться на полосе""","Connect two or more lanes with each other in order to tell which lanes vehicles may use.\n\n1. Click on a lane changing point (grey circles).\n2. Click on a source marker.\n3. Click on a target marker to connect it with the source marker.\n4. Click anywhere with your secondary mouse button to return back to source marker selection.\n\nAvailable hotkeys:\n\n- Delete or Backspace: Remove all lane connections\n- Shift + S: Cycle through all available ""stay on lane"" patterns",Strings.csv
TMPE_TUTORIAL_HEAD_ManualTrafficLightsTool,手动控制红绿灯,"Manual traffic lights","Manual traffic lights","Manual traffic lights","Manual traffic lights","Manuel des feux de circulation","Manuelle Ampeln","Kézi közlekedési lámpák","Manual traffic lights",手動信号機,"신호등 직접 통제 도움말","Ręczna sygnalizaja świetlna","Manual traffic lights","Ручной светофор","Manual traffic lights",Strings.csv
TMPE_TUTORIAL_BODY_ManualTrafficLightsTool,"尝试自定时的红绿灯。\n\n1. 单击一个路口\n2. 使用此工具来控制红绿灯","Try out custom traffic lights.\n\n1. Click on a junction\n2. Use the tool to control traffic lights.","Try out custom traffic lights.\n\n1. Click on a junction\n2. Use the tool to control traffic lights.","Try out custom traffic lights.\n\n1. Click on a junction\n2. Use the tool to control traffic lights.","Try out custom traffic lights.\n\n1. Click on a junction\n2. Use the tool to control traffic lights.","Essayez les feux de circulation personnalisés.\n\n1. Cliquez sur une intersection\n2. Utilisez l'outil pour contrôler les feux de circulation.","Probiere die Ampelschaltungen von TM:PE aus.\n\n1. Klicke auf eine Kreuzung.\n2. Verwende das Werkzeug, um die Ampel zu kontrollieren.","Próbálja ki az egyéni közlekedési lámpákat. \n\n1. Kattintson a csomópontra \n2. Az eszköz segítségével irányítsa a lámpákat.","Try out custom traffic lights.\n\n1. Click on a junction\n2. Use the tool to control traffic lights.","カスタム信号機を試してみてください。\n\n1. 交差点をクリックします。\n2. ツールを使用して信号機を制御します。","신호등을 직접 통제해 볼 수 있습니다\n\n1. 교차로를 클릭합니다\n2. 신호등 통제툴을 통해 신호를 통제할 수 있습니다","Wypróbuj własną sygnalizację świetlną.\n\n1. Kliknij na skrzyżowaniu\n2. Użyj narzędzia do sterowania ręczną sygnalizacją świetlną.","Try out custom traffic lights.\n\n1. Click on a junction\n2. Use the tool to control traffic lights.","Попробуйте настраивать светофоры.\n\n1. Нажмите на перекрёсток\n2. Используйте инструмент для управления светофорами.","Try out custom traffic lights.\n\n1. Click on a junction\n2. Use the tool to control traffic lights.",Strings.csv
TMPE_TUTORIAL_HEAD_ParkingRestrictionsTool,路边停车限制,"Parking restrictions","Parking restrictions","Parking restrictions","Parking restrictions","Restrictions de stationnement",Parkverbote,"Parkolási korlátozások","Parking restrictions",駐車規制,"주차 제한 도움말","Ograniczenia parkingowe","Parking restrictions","Ограничения парковки","Parking restrictions",Strings.csv
TMPE_TUTORIAL_BODY_ParkingRestrictionsTool,"控制是否允许停车。\n\n单击""P""标志\n\n可用热键：\n\n- Shift：按住可一次性应用路边停车限制至多个路段","Control where parking is allowed.\n\nClick on the ""P"" icons.\n\nAvailable hotkeys:\n\n- Shift: Hold while clicking to apply parking restrictions to multiple road segments at once","Control where parking is allowed.\n\nClick on the ""P"" icons.\n\nAvailable hotkeys:\n\n- Shift: Hold while clicking to apply parking restrictions to multiple road segments at once","Control where parking is allowed.\n\nClick on the ""P"" icons.\n\nAvailable hotkeys:\n\n- Shift: Hold while clicking to apply parking restrictions to multiple road segments at once","Control where parking is allowed.\n\nClick on the ""P"" icons.\n\nAvailable hotkeys:\n\n- Shift: Hold while clicking to apply parking restrictions to multiple road segments at once","Contrôler où le stationnement est autorisé.\n\nCliquez sur les icônes ""P"".\n\nTouches de raccourci disponibles :\n\n- Shift : Maintenez la touche enfoncée tout en cliquant pour appliquer des restrictions de stationnement à plusieurs segments de route à la fois","Steuere, wo das Parken erlaubt ist.\n\nKlicke auf die ""P""-Symbole.\n\nVerfügbare Tastenkombinationen:\n\n- Umschalt: Halte die Taste beim Klicken, um Parkverbote auch auf benachbarte Straßensegmente anzuwenden.","Irányítsa a parkolás engedélyezését. \n\nKattintson a ""P"" ikonra. \n\nHatékony gyorsbillentyűk: \n\n- Shift: Tartsa nyomva, miközben kattintással alkalmazza a parkolási korlátozásokat egyszerre több útszakaszra.","Control where parking is allowed.\n\nClick on the ""P"" icons.\n\nAvailable hotkeys:\n\n- Shift: Hold while clicking to apply parking restrictions to multiple road segments at once","駐車を許可する場所を制御します。\n\n「P」アイコンをクリックします。\n\n利用可能なホットキー:\n\n- Shift: クリックしながら押したままにすると、一度に複数の道路区間に駐車制限が適用されます","어디에 주차를 허용할 것인지 통제 할 수 있습니다.\n\n""P""아이콘을 클릭합니다.\n\n사용가능한 단축키 :\n\n- Shift : 쉬프트키를 누른상태로 클릭하면 교차로내의 모든 도로구간에 해당 규칙을 적용합니다","Decyduj gdzie możliwe jest parkowanie.\n\nKliknij na ikonę ""P"".\n\nSkróty klawiszowe:\n\n- Shift: przytrzymaj podczas klikania, aby zastowować ograniczenia parkingowe dla kilku segmentów drogi jednocześnie","Control where parking is allowed.\n\nClick on the ""P"" icons.\n\nAvailable hotkeys:\n\n- Shift: Hold while clicking to apply parking restrictions to multiple road segments at once","Контролирование парковки.\n\nНажмите на значок ""P"".\n\nГорячая клавиша:\n\n- Shift: Удерживайте нажатой кнопку, чтобы применить ограничения на парковку для нескольких сегментов дороги","Control where parking is allowed.\n\nClick on the ""P"" icons.\n\nAvailable hotkeys:\n\n- Shift: Hold while clicking to apply parking restrictions to multiple road segments at once",Strings.csv
TMPE_TUTORIAL_HEAD_PrioritySignsTool,优先通行权设置,"Priority signs","Priority signs","Priority signs","Priority signs","Signes prioritaires",Vorfahrtsschilder,"Elsőbbségi jelek","Priority signs",優先標識,"교통 표지판 추가 도움말","Znaki pierwszeństwa","Priority signs","Знаки приоритета","Priority signs",Strings.csv
TMPE_TUTORIAL_BODY_PrioritySignsTool,"设置路口的优先通行权。\n\n1. 单击一个路口\n2. 单击空白点来(循环)选择可用的优先通行权(干道、减速让行、停车让行)\n\n可用热键：\n\n- Shift：按住可一次性应用优先通行权至多个路段;按住时单击可(循环)选择可用的优先通行权","Define priority rules at junctions.\n\n1. Click on a junction.\n2. Click on the blank spots to cycle through the available priority signs (priority road, yield, stop).\n\nAvailable hotkeys:\n\n- Shift: Hold Shift to add priority signs to multiple road segments at once. Click again while holding Shift to cycle through all available patterns.","Define priority rules at junctions.\n\n1. Click on a junction.\n2. Click on the blank spots to cycle through the available priority signs (priority road, yield, stop).\n\nAvailable hotkeys:\n\n- Shift: Hold Shift to add priority signs to multiple road segments at once. Click again while holding Shift to cycle through all available patterns.","Define priority rules at junctions.\n\n1. Click on a junction.\n2. Click on the blank spots to cycle through the available priority signs (priority road, yield, stop).\n\nAvailable hotkeys:\n\n- Shift: Hold Shift to add priority signs to multiple road segments at once. Click again while holding Shift to cycle through all available patterns.","Define priority rules at junctions.\n\n1. Click on a junction.\n2. Click on the blank spots to cycle through the available priority signs (priority road, yield, stop).\n\nAvailable hotkeys:\n\n- Shift: Hold Shift to add priority signs to multiple road segments at once. Click again while holding Shift to cycle through all available patterns.","Définir les règles de priorité aux intersections.\n\n1. Cliquer sur l'intersection.\n2. Cliquez sur les cercles vides pour parcourir les panneaux de priorité disponibles (route prioritaire, cédez-le-passage, stop, vide).\n\nTouches de raccourci disponibles :\n\n- Shift : Maintenez la touche Maj enfoncée pour ajouter des signes de priorité à plusieurs segments de route à la fois. Cliquez à nouveau tout en maintenant la touche Maj enfoncée pour parcourir tous les modèles disponibles.","Definiere Vorfahrtsregeln an Kreuzungen.\n\n1. Klicke auf eine Kreuzung.\n2. Klicke auf eine der leeren Punkte, um zwischen den verfügbaren Vorfahrtsschildern umzuschalten (Hauptstraße, Vorfahrt gewähren, Stopp).\n\nVerfügbare Tastenkombinationen:\n\n- Umschalt: Halte die Taste, um Vorfahrtsschilder auch auf benachbarten Kreuzungen zu setzen. Klicke nochmals während du Umschalt gedrückt hälst, um alle verfügbaren Vorlagen durchzuwechseln.","Definiálja a prioritási szabályokat a kereszteződéseken. \n\n1. Kattintson a kereszteződésre. \n2. Kattintson az üres pontokra a rendelkezésre álló prioritási jelek (elsőbbségi út, hozam, megállás) átlépéséhez. \n\nA rendelkezésre álló gyorsbillentyűk: \n\n- Shift: tartsa lenyomva a Shift billentyűt, ha egyszerre több útszakaszhoz szeretne prioritási jeleket hozzáadni. Kattintson ismét, miközben lenyomva tartja a Shift billentyűt az összes elérhető minta áttekintéséhez.","Define priority rules at junctions.\n\n1. Click on a junction.\n2. Click on the blank spots to cycle through the available priority signs (priority road, yield, stop).\n\nAvailable hotkeys:\n\n- Shift: Hold Shift to add priority signs to multiple road segments at once. Click again while holding Shift to cycle through all available patterns.","交差点で優先順位規則を定義します。\n\n1. 交差点をクリックします。\n2. 空白の箇所をクリックして、利用可能な優先標識（優先道路,徐行,一時停止）を順に切り替えます。\n\n利用可能なホットキー:\n\n- Shift: Shiftキーを押しながら一度に複数の道路区間に優先標識を追加します。 Shiftキーを押しながらもう一度クリックすると、使用可能なすべてのパターンが順に切り替わります。","교차로에서 교통 표지판 규칙을 준수하게 만들 수 있습니다.\n\n1. 교차로를 클릭합니다.\n2. 검정색 원을 클릭하여 사용 가능한 교통표지판을 규정합니다(우선도로, 양보, 정지).\n\n사용할 수 있는 단축키 :\n\n- Shift : 쉬프트키를 누른 상태로 해당 도로구간에서 추가하고 싶은 표지판을 클릭합니다. 다시 클릭하면 원을 돌면서 사용 가능한 패턴으로 교통 표지판 규칙이 설정됩니다","Zdefiniuj zasady pierwszeństwa na skrzyżowaniach.\n\n1. Kliknij na skrzyżowaniu.\n2. Klikaj na wybranym półprzezroczystym okręgu by zmienić pierwszeństwo na tym odcinku(droga z pierwszeństwem, ustąp pierwszeństwa, stop).\n\nSkróty klawiszowe:\n\n- Shift: Przytrzymuj Shift, aby dodać znaki pierwszeństwa do kilku segmentów drogi jednocześnie. Kliknij ponownie, przytrzymując klawisz Shift, aby zmieniać pomiędzy dostępnymi schematami.","Define priority rules at junctions.\n\n1. Click on a junction.\n2. Click on the blank spots to cycle through the available priority signs (priority road, yield, stop).\n\nAvailable hotkeys:\n\n- Shift: Hold Shift to add priority signs to multiple road segments at once. Click again while holding Shift to cycle through all available patterns.","Определение правил приоритета на перекрёстках.\n\n1. Нажмите на перекрёсток.\n2. Нажмите на пустые ячейки, чтобы посмотреть доступные знаки приоритета (Главная дорога, Второстепенная дорога, Stop).\n\nГорячая клавиша:\n\n- Shift: Удерживайте Shift, чтобы добавить знаки приоритета сразу нескольким сегментам дороги. Нажмите ещё раз, удерживая Shift, чтобы просмотреть все доступные шаблоны.","Define priority rules at junctions.\n\n1. Click on a junction.\n2. Click on the blank spots to cycle through the available priority signs (priority road, yield, stop).\n\nAvailable hotkeys:\n\n- Shift: Hold Shift to add priority signs to multiple road segments at once. Click again while holding Shift to cycle through all available patterns.",Strings.csv
TMPE_TUTORIAL_HEAD_SpeedLimitsTool,道路限速设置,"Speed limits","Speed limits","Speed limits","Speed limits","Limites de vitesse",Geschwindigkeitsbeschränkungen,"Sebesség határok","Speed limits",制限速度,"속도 제한 도움말","Limity prędkości","Speed limits","Ограничение скорости","Speed limits",Strings.csv
TMPE_TUTORIAL_BODY_SpeedLimitsTool,"设置道路限速。\n\n1. 在窗口中单击你想要设置的限速\n2. 单击一个路段来应用限速\n\n可用热键：\n\n- Shift：按住可一次性应用限速至多个路段\n- Ctrl：按住来单独设置每条车道的限速","Set up speed restrictions.\n\n1. In the window, click on the speed limit you want to set.\n2. Click on a road segment to change the speed limit.\n\nAvailable hotkeys:\n\n- Shift: Hold Shift while clicking to apply speed limits to multiple road segments at once.\n- Ctrl: Hold Ctrl to control speed limits per individual lane.","Set up speed restrictions.\n\n1. In the window, click on the speed limit you want to set.\n2. Click on a road segment to change the speed limit.\n\nAvailable hotkeys:\n\n- Shift: Hold Shift while clicking to apply speed limits to multiple road segments at once.\n- Ctrl: Hold Ctrl to control speed limits per individual lane.","Set up speed restrictions.\n\n1. In the window, click on the speed limit you want to set.\n2. Click on a road segment to change the speed limit.\n\nAvailable hotkeys:\n\n- Shift: Hold Shift while clicking to apply speed limits to multiple road segments at once.\n- Ctrl: Hold Ctrl to control speed limits per individual lane.","Set up speed restrictions.\n\n1. In the window, click on the speed limit you want to set.\n2. Click on a road segment to change the speed limit.\n\nAvailable hotkeys:\n\n- Shift: Hold Shift while clicking to apply speed limits to multiple road segments at once.\n- Ctrl: Hold Ctrl to control speed limits per individual lane.","Configurer les restrictions de limitation de vitesse.\n\n1. Dans la fenêtre, cliquez sur la limite de vitesse que vous souhaitez définir.\n2. Cliquez sur un segment de route pour changer la limitation de vitesse.\n\nTouches de raccourci disponibles :\n\n- Shift : Maintenez la touche Maj enfoncée tout en cliquant pour appliquer des limitations de vitesse à plusieurs segments de route à la fois.\n- Ctrl : Maintenez la touche Ctrl enfoncée pour contrôler les limitations de vitesse par voie individuelle.","Setze Geschwindigkeitsbeschränkungen.\n\n1. Wähle im Fenster eine Geschwindigkeitsbegrenzung aus.\n2. Klicke auf ein Straßensegment, um die ausgewählte Begrenzung anzuwenden.\n\nVerfügbare Tastenkombinationen:\n\n- Umschalt: Halte die Taste beim Klicken, um Geschwindigkeitsbegrenzungen auch auf benachbarte Straßensegmente anzuwenden.\n- Strg: Halte die Taste beim Klicken, um Geschwindigkeitsbegrenzungen für einzelne Fahrspuren zu setzen.","Állítsa be a sebességkorlátozásokat. \n\n1. Az ablakban kattintson a beállítani kívánt sebességkorlátozásra. \n2. Kattintson egy útszakaszra a sebességkorlátozás megváltoztatásához. \n\nHatékony gyorsbillentyűk: \n\n- Shift: Tartsa lenyomva a Shift billentyűt, ha egyszerre több sebességet szeretne alkalmazni a sebességkorlátozásokra. \n- Ctrl: Tartsa lenyomva a Ctrl billentyűt a sebességkorlátozások ellenőrzéséhez. egyedi sávonként.","Set up speed restrictions.\n\n1. In the window, click on the speed limit you want to set.\n2. Click on a road segment to change the speed limit.\n\nAvailable hotkeys:\n\n- Shift: Hold Shift while clicking to apply speed limits to multiple road segments at once.\n- Ctrl: Hold Ctrl to control speed limits per individual lane.","速度制限を設定します。\n\n1. ウィンドウで、設定したい制限速度をクリックします。\n2. 制限速度を変更するには、道路区間をクリックしてください。\n\n利用可能なホットキー:\n\n- Shift: Shiftキーを押しながらクリックすると、一度に複数の道路区間に制限速度が適用されます。\n- Ctrl: 個々の車線ごとの制限速度を制御するにはCtrlを押します。","속도를 준수하도록 제한 할 수 있습니다.\n\n1. 속도 제한 패널창에서, 제한하고 싶은 속도를 클릭합니다.\n 해당 도로구간을 클릭하여 속도 제한을 변경합니다\n\n사용할 수 있는 단축키 :\n\n- Shift : 쉬프트키를 누른 상태로 도로구간을 클릭하면 한번에 적용 됩니다.\n- Ctrl : 컨트롤키를 누른 상태로 각 차선마다 속도를 제한 할 수 있습니다","Ustaw limity prędkości.\n\n1. W okienku, kliknij na wybrany limit prędkości.\n2. Kliknij na wybrany odcinek drogi, aby zastosować limit.\n\nSkróty klawiszowe:\n\n- Shift: Przytrzymaj Shift podczas wybierania, aby zastosować limit to wielu segmentów.\n- Ctrl: Przytrzymaj Ctrl, aby ustawić limit dla konkretnego pasa ruchu.","Set up speed restrictions.\n\n1. In the window, click on the speed limit you want to set.\n2. Click on a road segment to change the speed limit.\n\nAvailable hotkeys:\n\n- Shift: Hold Shift while clicking to apply speed limits to multiple road segments at once.\n- Ctrl: Hold Ctrl to control speed limits per individual lane.","Настройка ограничений скорости.\n\n1. В окне нажмите на ограничение скорости, которое вы хотите установить.\n2. Нажмите на сегмент дороги, чтобы изменить ограничение скорости.\n\nДоступные горячие клавиши:\n\n- Shift: Удерживайте нажатой клавишу Shift, чтобы одновременно применять ограничения скорости для нескольких сегментов дороги.\n- Ctrl: Удерживайте Ctrl, чтобы контролировать ограничения скорости на каждую полосу.","Set up speed restrictions.\n\n1. In the window, click on the speed limit you want to set.\n2. Click on a road segment to change the speed limit.\n\nAvailable hotkeys:\n\n- Shift: Hold Shift while clicking to apply speed limits to multiple road segments at once.\n- Ctrl: Hold Ctrl to control speed limits per individual lane.",Strings.csv
TMPE_TUTORIAL_HEAD_TimedTrafficLightsTool,红绿灯定时设置,"Timed traffic lights","Timed traffic lights","Timed traffic lights","Timed traffic lights","Feux de circulation chronométrés","Zeitgesteuerte Ampelschaltungen","Időzített közlekedési lámpák","Timed traffic lights",時間設定付き信号,"신호등 시간표 설정 도움말","Czasowa sygnalizacja świetlna","Timed traffic lights","Настраиваемые светофоры","Timed traffic lights",Strings.csv
